,ru-ru,en,,,,,NOTES – use \n for newline,max length
streamingevent_homunculus_punch,Призыв дерущегося гомункула,Summon Puncher Homunculus,,,,,Homunculus - alchemically created small humanoid creature ,
streamingeventdesc_homunculus_punch,Вам будет помогать маленький гомункул,A helpful little homunculus comes to your aid,,,,,Homunculus - alchemically created small humanoid creature ,
actiondesc_divide_2,"Следующее заклинание повторяется дважды, но наносит меньше урона","Casts the next spell twice, but with reduced damage",,,,,,
actiondesc_divide_3,"Следующее заклинание повторяется 3 раза, но наносит меньше урона","Casts the next spell 3 times, but with reduced damage",,,,,,
actiondesc_divide_4,"Следующее заклинание повторяется 4 раза, но наносит меньше урона","Casts the next spell 4 times, but with reduced damage",,,,,,
actiondesc_divide_10,"Следующее заклинание повторяется 10 раз, но наносит меньше урона","Casts the next spell 10 times, but with reduced damage",,,,,,
action_mu,Мю,Mu,,,,,Greek letter; do not translate,
actiondesc_mu,Каждое модифицирующее заклинание в активном жезле применяется к снаряду,Every modifier-type spell in the current wand is applied to a projectile,,,,,,
action_reset,Обновление жезла,Wand Refresh,,,,,,
actiondesc_reset,Мгновенно перезаряжает жезл,Reloads the wand immediately,,,,,,
perk_extra_slots,Дополнительная ёмкость жезла (одноразовый эффект),Extra Wand Capacity (One-off),,,,,,
perkdesc_extra_slots,Жезлы у вас в инвентаре получают 1-3 дополнительных ячейки под заклинания (максимум 25).,The wands you're currently carrying gain 1-3 additional spell slots (to a maximum of 25).,,,,,,
perk_teleportitis_dodge,Уклоняющийся телепортит,Teleportitis Dodge,,,,,,
perkdesc_teleportitis_dodge,"Когда вражеский снаряд находится рядом с вами, вы телепортируетесь от него на короткое расстояние.",You teleport a short distance away when an enemy projectile is near.,,,,,,
perk_extra_mana,"Больше маны, меньше ёмкости (одноразовый эффект)","High Mana, Low Capacity (One-off)",,,,,,
perkdesc_extra_mana,"Жезл, который вы держите, теряет половину ячеек для заклинаний, но получает больше маны.","Your currently held wand loses half its capacity, but gains more mana.",,,,,,
perk_homunculus,Гомункул,Homunculus,,,,,Homunculus - alchemically created small humanoid creature ,
perkdesc_homunculus,"Каждый раз, когда вы покидаете Святую гору, призывается гомункул-помощник.","Every time you leave a Holy Mountain, a helpful homunculus is summoned.",,,,,Homunculus - alchemically created small humanoid creature ,
action_larpa_death,Ларпа-взрыв,Larpa Explosion,,,,,,
actiondesc_larpa_death,"Снаряд выпускает 8 своих копий, когда исчезнет или столкнётся с землёй",A projectile will shoot out 8 copies of itself when it expires or hits the ground,,,,,,
action_bounce_larpa,Ларпа-отскок,Larpa Bounce,,,,,,
actiondesc_bounce_larpa,"Снаряд, выпускающий свою копию, когда отскакивает",A projectile will launch a copy of itself when it bounces,,,,,,
log_homunculus,Гомункул призван!,A homunculus is summoned!,,,,,,
perkdesc_plague_rats,"Из умирающих врагов вылезают крысы, служащие вам! Все крысы теперь ваши друзья.",Dying enemies release rats to serve your bidding! All rats become your friend.,,,,,,
animal_wizard_hearty,Хаавойттаяместари,Haavoittajamestari,,,,,Transliterate,
status_hearty,Инфаркт,Heartache,,,,,,
statusdesc_hearty,Ваше максимальное здоровье временно уменьшено вдвое.,Your maximum health is temporarily halved.,,,,,,
item_safe_haven,Камми,Kammi,,,,,doesn't need to be translated,
item_description_safe_haven,"Можно бросить, чтобы призвать уютное жилище",Can be thrown to summon a cozy hut,,,,,,
item_kakka,Каккакиккаре,Kakkakikkare,,,,,Transliterate,
itemdesc_kakka,"Загадочный спиралевидный артефакт, тёплый на ощупь и с ужасным запахом",This mysterious spiral-shaped artefact smells horrible and feels warm to the touch,,,,,,
mat_feces,Помёт,Feces,,,,,,
mat_gas_smelly,Пахучее испарение,Smelly vapour,,,,,,
actiondesc_destruction,"Мгновенно уничтожает всех врагов вокруг, расходуя максимум ОЗ","Instantly decimates foes around you, at the cost of your HP",,,,,,
perk_faster_wands,Дополнительная скорость жезла (одноразовый эффект),Faster Wands (One-off),,,,,,
perk_always_cast,Постоянное заклинание (одноразовый эффект),Always Cast (One-off),,,,,,
perkdesc_always_cast,Жезлу в вашей руке добавляется случайное постоянное заклинание (максимум 4),"A random Always Cast spell is added to the wand in your hand, up to a maximum of 4.",,,,,,
mat_peat,Торф,Peat,,,,,,
animal_drone_shield,Турваленнокки,Turvalennokki,,,,,Transliterate,
perkdesc_bleed_slime,"Вы истекаете слизью, но она больше не замедляет вас, и у вас повышается сопротивление снарядам.","You bleed slime, but slime no longer slows you down and you have higher projectile resistance.",,,,,,
perkdesc_bleed_oil,"Вы истекаете горючей нефтью, но у вас повышается сопротивление взрывам.","You bleed flammable oil, but you have higher explosive resistance.",,,,,,
animal_wizard_weaken,Турваттомуусместари,Turvattomuusmestari,,,,,Transliterate,
animal_wizard_wither,Куихдуттаяместари,Kuihduttajamestari,,,,,Transliterate,
status_weaken,Уязвимость,Vulnerable,,,,,,
statusdesc_weaken,Ваши защитные бонусы временно отключены.,Your protective perks are temporarily disabled.,,,,,,
mat_meat_fruit,Мякоть плода,Fruit flesh,,,,,,
biome_wizardcave,Логово волшебников,Wizards' den,,,,,,
action_zeta,Зета,Zeta,,,,,Greek letter; do not translate,
actiondesc_zeta,Копирует случайное заклинание из жезла в вашей руке,Copies a random spell in another wand you're holding,,,,,,
perk_extra_hp,Дополнительное здоровье (одноразовый эффект),Extra Health (One-off),,,,,,
perk_laser_aim,Лазерная указка,Pinpointer,,,,,,
perkdesc_laser_aim,"Ваш жезл испускает луч, помогающий целиться!",Your wand arm emits a beam to help with aiming!,,,,,,
item_vasta,Васта,Vasta,,,,,doesn't need to be translated,
item_vihta,Вихта,Vihta,,,,,doesn't need to be translated,
action_ball_lightning,Шаровая молния,Ball Lightning,,,,,,
actiondesc_ball_lightning,Призывает три электрические сферы с малой дальностью,Summons three short range electrical orbs,,,,,,
perk_low_recoil,Слабая отдача,Low Recoil,,,,,,
perkdesc_low_recoil,"Отдача от ваших заклинаний сильно ослаблена, но ваши снаряды летят немного медленнее.","Recoil caused by your spells is greatly reduced, but your spells fly slightly slower.",,,,,,
perk_projectile_repulsion_sector,Сектор отталкивания снарядов,Projectile Repulsion Sector,,,,,,
perkdesc_projectile_repulsion_sector,"Снаряды, залетающие в небольшой сектор перед вами, отталкиваются в сторону.",Projectiles that fly into a small sector in front of you get blown away.,,,,,,
perk_projectile_eater_sector,Пожирание снарядов,Projectile Eater,,,,,,
perkdesc_projectile_eater_sector,"Снаряды, залетающий в небольшой сектор за вами, исчезают.",Projectiles that fly into a small sector behind of you disappear.,,,,,,
status_wither,Истощение,Withered,,,,,,
statusdesc_wither,Вы временно более уязвимы ко всем типам урона.,You're temporarily more vulnerable to all damage types.,,,,,,
perk_projectile_slow_field,Замедление снарядов,Projectile Slower,,,,,,
perkdesc_projectile_slow_field,Снаряды рядом с вами замедляются.,Projectiles near you slow down.,,,,,Transliterate,
action_nolla,Нолла,Nolla,,,,,,
actiondesc_nolla,Длительность снаряда становится равной нулю,The duration of a projectile is set to zero,,,,,,
item_wand_good_1,Жезл быстроты,Wand of Swiftness,,,,,,
item_wand_good_2,Жезл разрушения,Wand of Destruction,,,,,,
item_wand_good_3,Жезл множеств,Wand of Multitudes,,,,,,
perkdesc_bleed_oil,Вы истекаете горючей нефтью и становитесь неуязвимы к огню.,"You bleed flammable oil, but are immune to fire.",,,,,,
perkdesc_revenge_explosion,"Получая урон, вы вызываете магический взрыв и получаете 25% сопротивления взрывам.","You release a magical explosion upon taking damage, and gain 25% resistance against explosions.",,,,,,
perkdesc_revenge_tentacle,"Получая урон, вы призываете кошмарное щупальце и получаете 25% сопротивления снарядам.","You summon a monstrous tentacle upon taking damage, and gain 25% resistance against projectiles.",,,,,,
perkdesc_revenge_projectile,"Получая урон, вы отражаете снаряды в врагов и получаете 20% сопротивления снарядам и взрывам.","You return projectiles back to enemies upon taking damage, and gain 20% resistance against projectiles & explosions.",,,,,,
perkdesc_bounce,Почти все ваши заклинания отскакивают и длятся дольше.,Almost all your spells bounce around and last longer.,,,,,,
perkdesc_low_gravity,"У всех существ, включая вас, снижается личная гравитация.","All creatures, you included, have lower personal gravity.",,,,,,
log_always_cast_failed,Слишком много постоянных заклинаний!,Too many always cast spells!,,,,,,
logdesc_always_cast_failed,Этот жезл перегружен...,This wand is already overloaded...,,,,,,
bookdesc07_forged,"Чтобы получить истинное знание,\n нельзя спешить.","To gain true knowledge,\n one must slow down and not hurry.",,,,,,
streamingeventdesc_protect_player,На какое-то время вы становитесь неуязвимы,You become invincible for some time,,,,,,
perkdesc_projectile_homing_shooter,"Ваши заклинания загибаются в вашу сторону, но становятся более быстрыми и наносят больше урона.","Your spells arc towards you, but gain extra speed and deal extra damage.",,,,,,
log_perk_fulltitle,$0 — $1,$0 - $1,,,,,,
action_mana_reduce,Добавление маны,Add mana,,,,,,
actiondesc_mana_reduce,Добавляет жезлу 30 ед. маны,Adds 30 mana to the wand,,,,,,
perk_protection_radioactivity,Иммунитет к ядам,Toxic Immunity,,,,,,
perkdesc_protection_radioactivity,Вы не получаете урон от радиоактивных веществ и других ядовитых субстанций.,You take no damage from toxic sludge and other toxic things.,,,,,,
mat_monster_powder_test,Монструозный порошок,Monstrous powder,,,,,,
perkdesc_vampirism,"Вы теряете 25% максимального здоровья, но можете восстанавливать ОЗ, выпивая кровь (не влияет на уровень насыщения).","You lose 25% maximum health, but can replenish health by drinking blood. Blood doesn't affect satiation level.",,,,,,
action_homing_accelerating,Скоростное наведение,Accelerative Homing,,,,,,
actiondesc_homing_accelerating,Снаряд наводится на врагов с нарастающим ускорением,A projectile homes towards enemies at an increasing pace,,,,,,
action_teleport_closer,Тянущая молния телепортации,Homebringer Teleport Bolt,,,,,,
actiondesc_teleport_closer,"Притягивает противников, в которых попадает",Brings the target hit closer to you,,,,,,
action_fanning_shot,Веерный выстрел,Fanning Shot,,,,,,
actiondesc_fanning_shot,Выпускает множество снарядов веером,Launches multiple projectiles in a fan-like pattern,,,,,,
action_projectile_fan,Веер от заклинаний,Spell Fan,,,,,,
actiondesc_projectile_fan,Отталкивает от вас заклинания,Pushes projectiles away from you,,,,,,
action_spells_to_power,Мощь из заклинаний,Spells to Power,,,,,,
actiondesc_spells_to_power,Преобразует ближайшие выпущенные вами снаряды в дополнительный урон,Converts any nearby projectiles cast by you into extra damage,,,,,,
action_enemies_to_power,Мощь из существа,Essence to Power,,,,,,
actiondesc_enemies_to_power,"Увеличивает урон снаряда в зависимости от того, сколько существ рядом с ним",Increases a projectile's damage based on the number of creatures nearby,,,,,,
action_explosion_light,Магический взрыв,Magical Explosion,,,,,,
actiondesc_explosion_light,"Крупный взрыв, не повреждающий землю",A large explosion that doesn't damage the ground,,,,,,
action_phi,Фи,Phi,,,,,Greek letter; do not translate,
actiondesc_phi,"Выпускает копию каждого заклинания в виде снаряда в жезле, который вы держите",Casts a copy of every projectile-type spell in the current wand,,,,,,
action_burst_x,Шквал заклинаний,Myriad Spell,,,,,,
actiondesc_burst_x,"Одновременно выпускает все заклинания, которые ещё не выпущены из вашего жезла",Simultaneously casts as many spells as you have left uncast in your wand,,,,,,
action_worm_launcher,Призыв червя,Summon Worm,,,,,,
actiondesc_worm_launcher,На какое-то время вытягивает из нижнего измерения быстрого червя,Grabs a worm from a nether realm at high velocity for a short time,,,,,,
action_spiraling_shot,Спиральный выстрел,Spiral Arc,,,,,,
actiondesc_spiraling_shot,Снаряд летит по спиралевидной траектории,A projectile flies in a spiralling pattern,,,,,,
action_orbit_shot,Оборотный выстрел,Orbiting Arc,,,,,,
actiondesc_orbit_shot,"Снаряд оборачивается вокруг места, откуда был выпущен",A projectile orbits the point of its origin,,,,,,
action_form_potion,Создание зелья,Create potion,,,,,,
actiondesc_form_potion,Небольшой вихрь затягивает материалы и создаёт бутыль с самим собой внутри.,A small vortex sucks material and forms a small potion filled with it,,,,,,
action_omega_disc_bullet,Призыв гигантской пилы,Summon Omega Sawblade,,,,,,
actiondesc_omega_disc_bullet,Реально гигантская пила,That's a lot of sawblade,,,,,,
action_temporary_wall,Призыв стены,Summon Wall,,,,,,
actiondesc_temporary_wall,Призывает препятствие на короткое время,Summons a shortlived obstacle,,,,,,
action_temporary_platform,Призыв платформы,Summon Platform,,,,,,
actiondesc_temporary_platform,Призывает кусок земли на короткое время,Summons a shortlived bit of ground,,,,,,
action_summon_missile,Призыв ракеты,Summon Missile,,,,,,
actiondesc_summon_missile,Призывает самонаводящуюся взрывающуюся ракету,"Summons a homing, explosive rocket",,,,,,
animal_maggot_tiny,Лиматоукка,Limatoukka,,,,,Transliterate,
animal_boss_wizard,Местариенместари,Mestarien mestari,,,,,Transliterate,
animal_coward,Раукка,Raukka,,,,,Transliterate,
animal_thundermage_big,Суур-Укко,Suur-Ukko,,,,,Transliterate,
animal_thunderhound,Уккоскойра,Ukkoskoira,,,,,Transliterate,
animal_boss_robot,Колмисильмян сильмя,Kolmisilmän silmä,,,,,Transliterate,
animal_skygazer,Тайваанкатсе,Taivaankatse,,,,,Transliterate,
animal_gazer_big,Колмисильмян кятури,Kolmisilmän kätyri,,,,,Transliterate,
animal_dark_alchemist,Пахан муйсто,Pahan muisto,,,,,Transliterate,
action_laser_emitter,Лазерный луч,Plasma beam,,,,,,
actiondesc_laser_emitter,"Мгновенный, смертоносный луч света","An instantaneous, dangerous beam of light",,,,,,
action_laser_emitter_thrower,Лазерное шоу,Plasma show,,,,,,
actiondesc_laser_emitter_thrower,"Снаряд, выпускающий лучи света в случайные стороны",A projectile fires beams of light in random directions,,,,,,
action_laser_cross,Крестовой лазерный луч,Plasma beam X,,,,,,
actiondesc_laser_cross,Лазерные лучи выпускаются по крестовой траектории,Plasma beams fly in an X-shaped pattern,,,,,,
perk_personal_laser,Личный лазерный луч,Personal Plasma Beam,,,,,,
perkdesc_personal_laser,"Из вас постоянно бьёт лазерный луч, но остальные заклинания вы пускаете намного медленнее","You constantly fire a devastating plasma beam, but you fire spells much slower",,,,,,
mat_wizardstone,Неровная кладка,Odd brickwork,,,,,,
mat_drape,Шторы,Drapes,,,,,,
mat_darkstone,Тёмный камень,Dark rock,,,,,,
perk_moon_radar,Лунный радар,Moon Radar,,,,,,
perkdesc_moon_radar,Указывает путь на Луну...?,Points you towards the moon...?,,,,,,
logdesc_greed_curse_away2,Проклятье перестало действовать.,The curse has gone away.,,,,,,
log_greed_curse_crystal2,Кристалл раскалывается!,The crystal breaks!,,,,,,
logdesc_greed_curse_crystal2,Проклятье снова действует!,The curse is active once again!,,,,,,
menu_mods_settings_short,Модификации,Mod settings,,,,,,
NEWTEXTSINCE20201125,,,,,,,,
animal_gate_monster_a,Веска,Veska,,,,,Transliterate,
animal_gate_monster_b,Молари,Molari,,,,,Transliterate,
animal_gate_monster_c,Мокке,Mokke,,,,,Transliterate,
animal_gate_monster_d,Сеула,Seula,,,,,Transliterate,
perkdesc_revenge_bullet,При попадании снарядов вы открываете огонь и получаете 20% сопротивления взрывам и снарядам.,"You return fire when hit by projectiles, and you gain 20% resistance against explosions and projectiles.",,,,,,
action_if_enemy,Требование: враги,Requirement - Enemies,,,,,,
actiondesc_if_enemy,"Если поблизости меньше 15 врагов, следующее заклинание пропускается",The next spell is skipped if there are less than 15 enemies nearby,,,,,,
action_if_projectile,Требование: снарядные заклинания,Requirement - Projectile Spells,,,,,,
actiondesc_if_projectile,"Если поблизости меньше 20 снарядов, следующее заклинание пропускается",The next spell is skipped if there are less than 20 projectiles nearby,,,,,,
action_if_hp,Требование: низкие ОЗ,Requirement - Low Health,,,,,,
actiondesc_if_hp,"Если осталось меньше 25% ОЗ, следующее заклинание пропускается",The next spell is skipped if you have more than 25% health left,,,,,,
action_if_end,Требование: конечная точка,Requirement - Endpoint,,,,,,
actiondesc_if_end,Заклинания с требованиями до этого будут пропускать все заклинания между собой и этим заклинанием,Any Requirement spells before this will skip all spells between them and this spell,,,,,,
action_if_half,Требование: каждое второе,Requirement - Every Other,,,,,,
actiondesc_if_half,"Каждый раз, когда накладывается это заклинание, следующее заклинание пропускается",The next spell is skipped every other time this spell is cast,,,,,,
action_if_else,Требование: иначе,Requirement - Otherwise,,,,,,
actiondesc_if_else,"Если заклинание с требованием до этого выполняется, следующее заклинание будет пропущено","If a Requirement spell before this succeeds, the next spell is skipped",,,,,,
action_bloodlust,Кровожадность,Bloodlust,,,,,,
actiondesc_bloodlust,"Урон снаряда значительно повышается, но он может ранить и вас","A projectile gains a hefty damage boost, but is also able to hurt you",,,,,,
action_colour_red,Красное мерцание,Red Glimmer,,,,,,
actiondesc_colour_red,Снаряд оставляет блестящий красный след,Gives a projectile a red sparkly trail,,,,,,
action_colour_green,Зелёное мерцание,Green Glimmer,,,,,,
actiondesc_colour_green,Снаряд оставляет блестящий зелёный след,Gives a projectile a green sparkly trail,,,,,,
action_colour_purple,Сиреневое мерцание,Purple Glimmer,,,,,,
actiondesc_colour_purple,Снаряд оставляет блестящий сиреневый след,Gives a projectile a purple sparkly trail,,,,,,
action_colour_orange,Оранжевое мерцание,Orange Glimmer,,,,,,
actiondesc_colour_orange,Снаряд оставляет блестящий оранжевый след,Gives a projectile a orange sparkly trail,,,,,,
action_colour_blue,Синее мерцание,Blue Glimmer,,,,,,
actiondesc_colour_blue,Снаряд оставляет блестящий синий след,Gives a projectile a blue sparkly trail,,,,,,
action_colour_yellow,Жёлтое мерцание,Yellow Glimmer,,,,,,
actiondesc_colour_yellow,Снаряд оставляет блестящий жёлтый след,Gives a projectile a yellow sparkly trail,,,,,,
action_colour_invis,Невидимое заклинание,Invisible Spell,,,,,,
actiondesc_colour_invis,Делает снаряд невидимым,Turns a projectile invisible,,,,,,
action_colour_rainbow,Радужное мерцание,Rainbow Glimmer,,,,,,
actiondesc_colour_rainbow,Снаряд оставляет блестящий случайно окрашенный след,Gives a projectile a randomly colored sparkly trail,,,,,,
status_teleportation,Телепортит,Teleportitis,,,,,,
statusdesc_teleportation,Время от времени вы бесконтрольно телепортируетесь.,You teleport uncontrollably every now and then.,,,,,,
status_blindness,Ослепление,Blinded,,,,,,
statusdesc_blindness,Вы почти ничего не видите!,You can barely see a thing!,,,,,,
perkdesc_glass_cannon,"Заклинания становятся впятеро мощнее, но максимальные ОЗ опускаются до 50 и не могут быть повышены обычными сердцами.","Your spells are 5 times as powerful, but your maximum health becomes 50 and cannot be increased by normal hearts.",,,,,,
perk_radar_item,Радар для поиска предметов,Item Radar,,,,,,
perkdesc_radar_item,Вы чувствуете ближайшие предметы.,You can sense nearby items.,,,,,,
perk_radar_moon,Лунный радар,Moon Radar,,,,,,
perkdesc_radar_moon,Вы чувствуете лунную энергию.,You can sense lunar energy.,,,,,,
action_explosion_remove,Устранение взрывоопасности,Remove Explosion,,,,,,
actiondesc_explosion_remove,Не даёт снаряду взрываться,Makes a projectile no longer explode,,,,,,
perk_extra_potion_capacity,Повышенная ёмкость бутылей,Extra Potion Capacity,,,,,,
perkdesc_extra_potion_capacity,Бутыли вмещают на 80% больше жидкости,Potions store 80% more liquid,,,,,,
perkdesc_hearts_more_extra_hp,Сердца дают больше максимального здоровья.,Hearts bestow more maximum health.,,,,,,
perk_vomit_rats,Произвольное самозарождение,Spontaneous Generation,,,,,,
perkdesc_vomit_rats,Рвота рядом с вами превращается в полезных крыс-помощников,Vomit near you evolves into helpful rat minions,,,,,,
mat_rat_powder,Крысиный порошок,Ratty powder,,,,,,
mat_poo_gas,Тошнотворный газ,Nauseating gas,,,,,,
perk_revenge_rats,Крысы-мстители,Revenge Rats,,,,,,
perkdesc_revenge_rats,"Когда вы получаете урон, есть вероятность, что появится крыса-помощник","When you take damage, there's a chance that a helpful rat minion is summoned",,,,,,
streamingevent_add_always_cast,Постоянное заклинание,Always Cast,,,,,,
streamingeventdesc_add_always_cast,Используемый в данный момент жезл получает постоянное заклинание! (Максимум 4),Your currently-held wand gets a permanent always cast spell! (max. 4),,,,,,
action_expanding_orb,Расширяющаяся сфера,Expanding Sphere,,,,,,
actiondesc_expanding_orb,"Медленный снаряд, урон которого со временем увеличивается",A slow projectile that increases its damage over time,,,,,,
action_homing_projectile,Наводящиеся заклинания,Follow Spells,,,,,,
actiondesc_homing_projectile,Снаряд движется к другим снарядным заклинаниям,Makes a projectile home towards other projectile spells,,,,,,
mat_orb_powder,Направляющий порошок,Guiding powder,,,,,,
action_vacuum_powder,Всасывающее порошок поле,Powder Vacuum Field,,,,,,
actiondesc_vacuum_powder,Всасывает порошкообразные материалы поблизости и испускает их по истечении определённого срока,Sucks powder-like materials nearby and releases them upon expiring,,,,,,
action_vacuum_liquid,Всасывающее жидкость поле,Liquid Vacuum Field,,,,,,
actiondesc_vacuum_liquid,Всасывает жидкие материалы поблизости и испускает их по истечении определённого срока,Sucks liquid materials nearby and releases them upon expiring,,,,,,
item_essence_stone,Пожиратель эссенций,Essence Eater,,,,,,
animal_physics_pata,Пата,Pata,,,,,transliterate,
item_wand_experimental_1,Экспериментальный жезл,Experimental Wand,,,,,,
item_wand_experimental_2,Экспериментальный жезл,Experimental Wand,,,,,,
booktitle_fisher,Записка алхимика,Alchemist's Note,,,,,,
bookdesc_fisher,"«Здесь я в безопасности. В полной безопасности.\nОстальные — позади. Я скрыл свои исследования: до них смогут добраться только те, у кого есть истинное понимание.\nМне не о чем волноваться. Пока я могу устоять против искушения, я в безопасности.\nЯ знаю свои пределы. У меня ещё большой запас прочности.\n\nНе о чем волноваться».","”Here I'm safe. I am safe.\nI left the others behind, and I have locked my research so that only those with real understanding can reach it.\nI should not worry. As long as I resist the temptation, I will be safe.\nI know my limits. Here I am far away from them.\n\nI should not worry.”",,,,,,
biome_rainforest_dark,Логово лукки,Lukki lair,,,,,transliterate “Lukki”,
mat_darkness,Зловещая жидкость,Ominous liquid,,,,,,
action_phasing_arc,Прерывистая дуга,Phasing Arc,,,,,,
actiondesc_phasing_arc,"Снаряд летит намного медленнее, но во время полета телепортируется на короткие расстояния","Makes a projectile fly much slower, but teleport short distances over its flight",,,,,,
status_homing_shooter,Самонаводящиеся заклинания,Self-homing Spells,,,,,,
statusdesc_homing_shooter,Заклинания некоторое время возвращаются к вам.,Your spells home towards yourself for a time.,,,,,,
perkdesc_lower_spread,"Заклинания наносят больше урона, разброс уменьшается, задержка увеличивается.",Your spells deal more damage and have lower spread and increased cast delay.,,,,,,
perkdesc_laser_aim,"Заклинания летят быстрее и с меньшим разбросом, и у вас есть удобная линия прицеливания!","Your spells fly faster and have lower spread, and you have a handy sightline for aiming!",,,,,,
status_drunk_ui,Волшебное опьянение,Magic Drunkenness,,,,,,
statusdesc_drunk_ui,"Заклинания менее точны, и вы некоторое время легче воспламеняетесь",Your spells are less accurate and you're more flammable for a time.,,,,,,
status_movement_slower_ui,Замедленное движение,Slower Movement,,,,,,
statusdesc_movement_slower_ui,Вы некоторое время движетесь медленнее.,You move slower for a time.,,,,,,
status_confusion_ui,Путаница,Confusion,,,,,,
statusdesc_confusion_ui,Вы некоторое время движетесь неуверенно.,Your movement is unsure for a time.,,,,,,
damage_orb_blood,кровная связь,blood link,,,,,,
boss_wizard_1,Вы в смятении!,You're confused!,,,,,,
boss_wizard_2,Вы пьяны!,You're drunk!,,,,,,
boss_wizard_3,Здоровье уменьшено вдвое!,Your health is halved!,,,,,,
boss_wizard_4,Вы движетесь медленнее!,You move more slowly!,,,,,,
boss_wizard_5,Вы дергаетесь!,You're twitchy!,,,,,,
boss_wizard_6,Вы ослаблены!,You're weakened!,,,,,,
boss_wizard_7,Вы истощаетесь!,You're withering!,,,,,,
boss_wizard_8,Ваши снаряды возвращаются к вам!,Your projectiles home back to you!,,,,,,
action_vacuum_entities,Всасывающее поле,Vacuum Field,,,,,,
actiondesc_vacuum_entities,Мгновенно засасывает снаряды и существ поблизости в центр поля,Sucks nearby projectiles and creatures into the middle of the field instantaneously,,,,,,
action_bloodtentacle,Кровавое щупальце,Blood Tentacle,,,,,,
actiondesc_bloodtentacle,"Когда это щупальце поражает врага, тот также запускает щупальце","When this tentacle hits an enemy, said enemy will also launch a tentacle",,,,,,
action_explosion_tiny,Концентрированный взрыв,Concentrated Explosion,,,,,,
actiondesc_explosion_tiny,Сильно ограничивает радиус взрыва снаряда,Limits the radius of a projectile's explosion heavily,,,,,,
action_liquid_to_explosion,Детонация жидкости,Liquid Detonation,,,,,,
actiondesc_liquid_to_explosion,Превращает неволшебные жидкости поблизости во взрывоопасный порох,Converts nearby nonmagical liquids into explosive gunpowder,,,,,,
action_laser_emitter_four,Крест из плазменного луча,Plasma Beam Cross,,,,,,
actiondesc_laser_emitter_four,Четыре смертоносных плазменных луча в форме креста. Будьте осторожны: они могут навредить и вам!,"Four deadly plasma beams in a cross-shape. Look out, they can hurt you as well!",,,,,,
action_laser_emitter_ray,Метатель плазменного луча,Plasma Beam Thrower,,,,,,
actiondesc_laser_emitter_ray,Снаряд испускает плазменные лучи во всех направлениях!,A projectile fires plasma beams in all directions!,,,,,,
action_bounce_laser_emitter,Отскок плазменного луча,Plasma Beam Bounce,,,,,,
actiondesc_bounce_laser_emitter,Снаряд испускает плазменный луч при отскоке,A projectile launches a plasma beam upon bouncing,,,,,,
action_homing_cursor,Дуга прицеливания,Aiming Arc,,,,,,
actiondesc_homing_cursor,"Снаряд вращается в направлении, в котором вы целитесь",A projectile rotates towards the direction you're aiming,,,,,,
booktitle_mestari,Хитрое изобретение,A Cunning Contraption,,,,,,
bookdesc_mestari,"«Секрет кроется в музыке!\n\nКлюч к небесному замку рождается из музыки, собранной со всех уголков мира.\n\nИ, в некотором роде, как вверху, так и внизу…»","”The secret lies in music!\n\nThe key to the heavens' lock is borne from music all over the world.\n\nAnd in a way, as above, so below...”",,,,,,
biome_mestari_secret,Тронный зал,Throne room,,,,,,
streamingevent_fireworks,Фейерверк!,Fireworks!,,,,,,
streamingeventdesc_fireworks,Совершенно безопасно (если правильно понимать «безопасность»),Entirely safe (for a given value of safe),,,,,,
streamingevent_holiday_mood,Праздничное настроение,Holiday Mood,,,,,,
streamingeventdesc_holiday_mood,Да будет снег,Let it be snow,,,,,,
streamingeventdesc_holiday_mood_2,Снег кружится,Let it snow,,,,,,
perk_contact_damage,Контактный урон,Contact Damage,,,,,,
perkdesc_contact_damage,"Враги рядом с вами получают урон; чем меньше у вас ОЗ, тем урон выше",Enemies near you take damage; the damage is higher the lower your health gets.,,,,,,
mat_metal_sand,Металлическая пыль,Metal dust,,,,,,
mat_metal_sand_molten,Расплавленный металл,Molten metal,,,,,,
item_evil_eye,Паха Сильмя,Paha Silmä,,,,,transliterate,
item_description_evil_eye,Этот артефакт в форме глаза излучает злобный взгляд,This eye-shaped artefact projects a malevolent glare,,,,,,
animal_lukki_dark,Каммолукки,Kammolukki,,,,,,
item_wand_kiekurakeppi,Киекуракеппи,Kiekurakeppi,,,,,Transliterate,
item_wand_valtikka,Валтикка,Valtikka,,,,,Transliterate,
action_sigma,Сигма,Sigma,,,,,Transliterate,
actiondesc_sigma,При наложении копирует каждое заклинание типа «статический снаряд» в жезле,Copies every static projectile -type spell in the wand when cast,,,,,,
action_tau,Тау,Tau,,,,,Transliterate,
actiondesc_tau,При наложении копирует два следующих заклинания в жезле,Copies the two following spells in the wand when cast,,,,,,
material_transformed,$0 (преобразовано),$0 (Transformed),,,,,"This is used for the names of some alchemically created materials, e.g. blood converted into water → “Water (Transformed)”",
logdesc_reality_mutation,"Вы слышите, как слово «$0» отражается эхом и меняет цвета",You hear the word “$0” echoing and shifting in colours,,,,,,
action_laser_emitter_cutter,Плазменный резак,Plasma Cutter,,,,,,
actiondesc_laser_emitter_cutter,Плазменный луч специально для резки материалов!,A plasma beam specialized in cutting materials!,,,,,,
action_laser_emitter_wider,Улучшение плазменного луча,Plasma Beam Enhancer,,,,,,
actiondesc_laser_emitter_wider,Плазменный луч заклинания становится шире,Makes plasma beam spell's beam wider,,,,,,
